,EUR,USD,GBP,CAD,CHF,JPY,AUD,CZK,HUF,NZD,SEK,SGD,DKK,NOK
EUR,1,1.12447,0.84116,1.56938,0.938,162.844,1.74452,24.8693,401.986,1.89895,10.8786,1.45587,7.45944,11.5808
USD,0.88917,1,0.748,1.39571,0.83412,144.806,1.55125,22.1154,357.492,1.68922,9.67615,1.29474,6.63365,10.30045
GBP,1.18862,1.33669,1,1.86549,1.11501,193.575,2.07385,0,0,2.25746,0,1.7305,0,0
CAD,0.63706,0.71638,0.53594,1,0.59761,103.757,1.11154,0,0,1.21004,0,0.92755,0,0
CHF,1.06587,1.19868,0.89659,1.6726,1,173.576,0,0,0,0,0,0,0,0
JPY,0.00614,0.0069,0.00517,0.00964,0.00576,1,0.01071,0,0,0.01166,0,0.00894,0,0
AUD,0.57312,0.064451,0.48207,0.89936,0,93.328,1,0,0,1.08844,0,0.83431,0,0
CZK,0.0402,0.0452,0,0,0,0,0,1,0,0,0,0,0,0
HUF,0.00249,0.00279,0,0,0,0,0,0,1,0,0,0,0,0
NZD,0.52638,0.59183,0.44279,0.82607,0,85.717,0.91852,0,0,1,0,0.76629,0,0
SEK,0.09187,0.1033,0,0,0,0,0,0,0,0,1,0,0,0
SGD,0.68669,0.77222,0.5777,1.07776,0,111.842,1.19816,0,0,1.30439,0,1,0,0
DKK,0.13403,0.15071,0,0,0,0,0,0,0,0,0,0,1,0
NOK,0.0863,0.09704,0,0,0,0,0,0,0,0,0,0,0,1
